Branch,Mean_dNdS,RateClasses,OmegaOver1,WtOmegaOver1,LRT,p,p_Holm,BranchLength
t8,10,1,0,0,0,1,1,0
t13,10,1,0,0,0,1,1,0
t4,10,1,0,0,0,1,1,0
Node5,10,1,1e+26,1,0.44007,0.342165,1,0.0329008
Node3,0,1,0,0,0,1,1,0.0456645
t1,10,1,1e+26,1,0,1,1,0.0342468
t7,10,1,1e+26,1,0,1,1,0.0369792
t15,10,1,0,0,0,1,1,0
Node10,0.335269,1,0,0,0,1,1,0.0692313
Node8,0.264485,1,0,0,0,1,1,0.0737764
Node2,10,1,0,0,0,1,1,0
t5,10,1,0,0,0,1,1,0
t14,10,1,1e+26,1,0,1,1,0.0334527
Node13,10,1,1e+26,1,0.823028,0.271653,1,0.0713007
t9,10,1,0,0,0,1,1,0
t6,10,1,1e+26,1,0,1,1,0.150876
Node18,0.671837,1,0,0,0,1,1,0.46783
t12,10,1,0,0,0,1,1,0
t11,10,1,1e+26,1,0,1,1,0.0673388
Node21,10,1,1e+26,1,0.427899,0.344821,1,0.0535937
Node17,10,1,0,0,0,1,1,0
t2,0,1,0,0,0,1,1,3.54341e-13
t3,10,1,0,0,0,1,1,0
t10,10,1,1e+26,1,0,1,1,0.0656955
Node26,0,1,0,0,0,1,1,0.0439733
Node24,2.00103e-06,1,0,0,0,1,1,2954.61
Node16,1.11274,1,1.11354,1,0.00645693,0.486224,1,0.219108
